nct_id,first_timestamp,last_timestamp
NCT00198159,2025-09-13T07:19:56.119Z,2025-09-13T07:20:04.619Z
NCT00872560,2025-09-13T07:20:08.596Z,2025-09-13T07:20:16.291Z
NCT02525510,2025-09-13T07:20:25.423Z,2025-09-13T07:20:38.749Z
NCT02222662,2025-09-13T07:20:42.722Z,2025-09-13T07:20:49.273Z
NCT00579709,2025-09-13T07:20:52.980Z,2025-09-13T07:21:06.164Z
NCT04013633,2025-09-13T07:21:13.473Z,2025-09-13T07:21:25.872Z
NCT01824095,2025-09-13T07:21:28.903Z,2025-09-13T07:21:32.152Z
NCT00256932,2025-09-13T07:21:40.059Z,2025-09-13T07:21:45.892Z
NCT03898492,2025-09-13T07:21:50.079Z,2025-09-13T07:21:52.738Z
NCT01553240,2025-09-13T07:21:59.390Z,2025-09-13T07:22:05.486Z
NCT01246882,2025-09-13T07:22:17.009Z,2025-09-13T07:22:24.131Z
NCT03830268,2025-09-13T07:22:26.546Z,2025-09-13T07:22:32.759Z
NCT01599260,2025-09-13T07:22:39.605Z,2025-09-13T07:22:42.608Z
NCT01672567,2025-09-13T07:22:49.217Z,2025-09-13T07:22:54.813Z
NCT02386826,2025-09-13T07:22:58.862Z,2025-09-13T07:23:09.823Z
NCT00829283,2025-09-13T07:23:15.453Z,2025-09-13T07:23:25.895Z
NCT00953862,2025-09-13T07:23:28.942Z,2025-09-13T07:23:34.131Z
NCT01749371,2025-09-13T07:23:41.886Z,2025-09-13T07:23:46.088Z
NCT00223808,2025-09-13T07:23:52.055Z,2025-09-13T07:23:56.749Z
NCT02670369,2025-09-13T07:24:01.041Z,2025-09-13T07:24:05.010Z