"NCT Number";"Study Title";"Study URL";"Acronym";"Study Status";"Study Results";"Conditions";"Interventions";"Primary Outcome Measures";"Secondary Outcome Measures";"Other Outcome Measures";"Sponsor";"Collaborators";"Sex";"Age";"Phases";"Enrollment";"Funder Type";"Study Type";"Study Design";"Other IDs";"Start Date";"Primary Completion Date";"Completion Date";"First Posted";"Results First Posted";"Last Update Posted";"Locations";"completion_date";"completion_year";"completion_month";"eligible_year";"year_bin";"enrollment_bin"
Grade 0 = clear (clear skin with no inflammatory or non-inflammatory lesions) Grade 1 = almost clear (few non-inflammatory lesions with no more than rare papules (papules may be resolving and hyperpigmented, though not pink-red) Grade 2 = mild (some non-inflammatory lesions with no more than a few inflammatory lesions) Grade 3 = moderate (up to many non-inflammatory lesions and may have some inflammatory lesions, but no more than 1 nodular lesion) Grade 4= severe (up to many non-inflammatory and inflammatory lesions, including nodular lesions), Baseline and Week 12";"Percent Change in Inflammatory Lesion Count From Baseline to Week 12, The percent change in inflammatory lesion count from Baseline to Week 12, Baseline and Week 12|Percent Change in Non-inflammatory Lesion Count From Baseline to Week 12, The percent change in non-inflammatory lesion count from Baseline to Week 12, Baseline and Week 12|Median Time to Improvement, Median time to a 35% improvement in inflammatory lesion counts (Kaplan-Meier estimate). The full range values presented below are estimates made from the Kaplan-Meier figure., Baseline through Week 12";"";"Novan, Inc.";"";"ALL";"CHILD, ADULT";"PHASE2";213;"INDUSTRY";"INTERVENTIONAL";"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT";"NI-AC202";"2014-11";"2015-06";"2015-08";2014-09-17;2023-05-31;2023-05-31;"Qst acne site #1, Hot Springs, Arkansas, 71913, United States|QST Site #118, Encinitas, California, 92024, United States|QST Site #111, San Diego, California, 92123, United States|QST Site #113, San Diego, California, 92123, United States|QST Site #119, Santa Monica, California, 90404, United States|QST Site #103, Boca Raton, Florida, 33486, United States|QST Site # 110, Pinellas Park, Florida, 33781, United States|QST Site # 116, Newnan, Georgia, 302636, United States|QST Site #117, Louisville, Kentucky, 40202, United States|QST Site #112, Detroit, Michigan, 48202, United States|QST Site #120, Warren, Michigan, 48088, United States|QST Site # 121, Minneapolis, Minnesota, 55432, United States|QST Site #107, New York, New York, 10155, United States|QST Site #108, Rochester, New York, 14623, United States|QST Site #109, Rochester, New York, 14625, United States|QST Site #104, Stony Brook, New York, 11790, United States|QST Site # 102, San Antonio, Texas, 78229, United States|QST Site #106, Salt Lake City, Utah, 84117, United States|QST #105, Lynchburg, Virginia, 24501, United States|QST Site #114, Norfolk, Virginia, 23507, United States";"2015-06";2015;6;TRUE;"2015-2019";"100-499"
"NCT03750383";"Drug-Drug Interaction Study Between EDP-938, Cyclosporine and Prednisone in Healthy Adult Subjects";"https://clinicaltrials.gov/study/NCT03750383";"";"COMPLETED";"NO";"RSV Infection";"DRUG: EDP-938|DRUG: EDP-938|DRUG: Cyclosporine|DRUG: Prednisone";"Cmax of EDP-938 with and without coadministration with cyclosporine, Up to 12 days|AUC of EDP-938 with and without coadministration with cyclosporine, Up to 12 days|Cmax of EDP-938 with and without coadministration with prednisone, Up to 21 days|AUC of EDP-938 with and without coadministration with prednisone, Up to 21 days";"Safety measured by adverse events, Up to 21 days";"";"Enanta Pharmaceuticals, Inc";"Pharmaceutical Research Associates";"ALL";"ADULT";"PHASE1";48;"INDUSTRY";"INTERVENTIONAL";"Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE";"EDP 938-002";"2018-11-02";"2018-11-17";"2018-12-13";2018-11-23;NA;2019-02-12;"Pharmaceutical Research Associates, Inc.,, Lenexa, Kansas, 66219, United States";"2018-11-17";2018;11;TRUE;"2015-2019";"1-99"
"NCT00601302";"Bioequivalency Study of Amlodipine Tablets Under Fed Conditions";"https://clinicaltrials.gov/study/NCT00601302";"";"COMPLETED";"NO";"Hypertension|Chronic Stable Angina|Vasospastic Angina";"DRUG: Amlodipine";"Bioequivalence, Baseline, Two period, Twenty-one day washout";"";"";"Roxane Laboratories";"";"ALL";"ADULT";NA;40;"INDUSTRY";"INTERVENTIONAL";"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT";"AMLO-02";"2004-04";"2004-04";"2004-05";2008-01-28;NA;2018-01-23;"Gateway Medical Research, Inc., Saint Charles, Missouri, 63301, United States";"2004-04";2004;4;TRUE;"<2005";"1-99"
"NCT02741297";"VELOCITY: A Study to Characterize Real-World Outcomes of Spinal Cord Stimulation";"https://clinicaltrials.gov/study/NCT02741297";"";"COMPLETED";"YES";"Chronic Pain";"DEVICE: Spinal Cord Stimulation (SCS) System";"Percentage of Low Back Pain Responders, Percentage of low back pain responders at 3 months post-activation with no increase in opioids from Baseline to 3 months post-activation, 3 months";"";"";"Boston Scientific Corporation";"";"ALL";"ADULT, OLDER_ADULT";NA;73;"INDUSTRY";"INTERVENTIONAL";"Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT";"91113648";"2016-04-19";"2018-09-21";"2019-06-25";2016-04-18;2020-01-10;2021-01-05;"Schreiber Klinik, München, Germany|Azienda Ospedale Monaldi, Naples, Italy|Ziekenhuis Rijnstate, Velp, Netherlands|Southmead Hospital Bristol, Bristol, United Kingdom|St. Bartholomews Hospital, London, United Kingdom";"2018-09-21";2018;9;TRUE;"2015-2019";"1-99"
"NCT03866811";"Reducing Teen Pregnancy in the Emergency Department";"https://clinicaltrials.gov/study/NCT03866811";"ERICA";"COMPLETED";"YES";"Reproductive Behavior|Sexual Behavior|Adolescent Behavior|Contraception";"BEHAVIORAL: Dr. Erica";"Potential Efficacy: Effective Contraception Initiation Rates [Time Frame: Enrollment, 12 Weeks Post-enrollment (2 Weeks Post Close of Intervention)], Initiation of effective contraception will be considered positive if participant self-reports initiation of effective contraception at follow up (telephone or online survey). An """"effective"""" form of contraception (as defined by the World Health Organization) includes the following:

* intrauterine device
* birth control implant
* birth control patch
* birth control pills or oral contraceptives
* injectable birth control
* a vaginal ring, 3 months";"Feasibility: Percentage of Refusal, Percentage of eligible participants who refused, Baseline|Feasibility: Opt Outs Measured Via Mobile Platform, Percentage of enrolled participants in the intervention group who texted to stop receiving messages., 3 months|Number of Enrolled Participants Who do Not Complete Follow up, Measurement of the feasibility of Dr. Erica among adolescent female users, 3 months|Acceptability: Satisfaction With the Intervention Measured Via Online or Telephone Survey, Percentage of participants in the intervention group who followed up and answered that they like the program and would recommend it to friends, 3 months|Any Sex Over the Past 3 Months, Self-report of any over the past 3 months., 1 year";"Exploratory Efficacy Outcome: Number of Participants Who Followed up for Preventative Reproductive Care, Participants who reported they did not go to the Columbia Family Planning Clinic over the past 3 months and answered """"yes"""" to the question: """"Over the past 3 months, have you seen a doctor for medical care?"""" In this Outcome, """"preventative reproductive care"""" is defined as any visit to a doctor for the purposes of reproductive health., 3 months";"Columbia University";"Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)";"FEMALE";"CHILD, ADULT";NA;146;"OTHER";"INTERVENTIONAL";"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION";"AAAR6781 (Part 2)|1K23HD096060-01";"2019-03-03";"2020-07-02";"2020-07-02";2019-03-07;2024-08-06;2024-08-06;"Morgan Stanley Children's Hospital Emergency Department, New York, New York, 10032, United States";"2020-07-02";2020;7;TRUE;"2020-2024";"100-499"
"NCT00555672";"Study Of Sunitinib In Combination With Cisplatin And 5-Fluorouracil In Patients With Advanced Gastric Cancer";"https://clinicaltrials.gov/study/NCT00555672";"";"COMPLETED";"YES";"Stomach Neoplasms";"DRUG: 5-fluorouracil|DRUG: cisplatin|DRUG: sunitinib malate";"Number of Participants With First-cycle Dose Limiting Toxicities (DLTs), The incidence of DLTs assessed during the first cycle (21 days)., Cycle 1 (Baseline to Day 21)";"Maximum Observed Plasma Concentration (Cmax), Day 1 of Cycle 1 (2, 4, 6, 8, 10, and 24 hours post dose)|Area Under the Curve From Time 0 to 24 Hours Postdose [AUC (0-24)], Area under the plasma concentration versus time curve from time 0 (pre-dose) to 24 hours postdose (0-24)., Day 1 of Cycle 1 (2, 4, 6, 8, 10, and 24 hours postdose)|Time to Reach Maximum Observed Plasma Concentration (Tmax), Tmax is the time to first occurrence of maximum observed plasma concentration (Cmax)., Day 1 of Cycle 1 (2, 4, 6, 8, 10, and 24 hours post dose)|Steady State Concentration (Css) of 5-Fluorouracil (5-FU), Steady state plasma concentration of 5-FU equals AUC(2-6) divided by 4, where AUC(2-6) is the area under the plasma concentration versus time curve from time 2 to 6 hours postdose (2-6)., Day 1 of Cycle 1 (2, 4, and 6 hours post infusion)|Infusion Rate (Zero Order) (R0) of 5-FU, Infusion rate of 5-FU equals total dose divided by infusion time., Day 1 of Cycle 1 (2, 4, and 6 hours post infusion)|Clearance (CLss) of 5-FU, Steady state total body clearance equals infusion rate (zero order) divided by steady state plasma concentration of 5-FU (R0/Css)., Day 1 of Cycle 1 (2, 4, and 6 hours post infusion)|Area Under the Curve From Time 2 to 6 Hours Postdose [AUC (2-6)] of 5-FU, Area under the plasma concentration versus time curve from time 2 to 6 hours postdose (2-6)., Day 1 of Cycle 1 (2, 4, and 6 hours post infusion)|Number of Participants With Objective Response, Number of participants with an objective response-based assessment of confirmed complete response (CR) or confirmed partial response (PR) according to Response Evaluation Criteria in Solid Tumors (RECIST). CR defined as the disappearance of all target lesions. PR defined as greater than or equal to (≥) 30 percent (%) decrease in the sum of the longest dimensions of the target lesions taking as a reference the baseline sum longest dimensions., Baseline, Day 21 of every even-numbered cycle up to 15 Months|Duration of Response (DR), Time from the first objective documentation of tumor response (confirmed or partial response) to first documented objective tumor progression or death due to any cause, whichever occurrs first. DR calculated as (Months) equals (the end date for DR minus first subsequent confirmed CR or PR plus 1) divided by 30., Baseline up to Month 15|Progression-Free Survival (PFS), Median time (50%) from the first dose of study treatment to the first documentation of objective tumor progression or to death due to any cause, whichever occurs first. PFS calculated as (Months) equals (first event date minus first dose date plus 1) divided by 30., Baseline up to Month 15";"";"Pfizer";"";"ALL";"ADULT, OLDER_ADULT";"PHASE1";34;"INDUSTRY";"INTERVENTIONAL";"Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT";"A6181128";"2008-08";"2009-12";"2010-08";2007-11-09;2011-01-05;2011-12-19;"Pfizer Investigational Site, Barcelona, Barcelona, 08003, Spain|Pfizer Investigational Site, L'Hospitalet de Llobregat, Barcelona, 08907, Spain|Pfizer Investigational Site, Madrid, Madrid, 28041, Spain";"2009-12";2009;12;TRUE;"2005-2009";"1-99"
"NCT00547105";"Erlotinib and SBRT in Treating Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer";"https://clinicaltrials.gov/study/NCT00547105";"";"COMPLETED";"YES";"Lung Cancer";"DRUG: Erlotinib|RADIATION: SBRT";"6 Month Progression-Free Survival, For liver lesions treated with SBRT, RECIST (Response Evaluation Criteria in Solid Tumors) criteria will be used for evaluation of progression. Progression (PD) is at least a 20% increase in the sum of the longest diameter (LD) of target lesions taking as reference the smallest sum LD recorded since the treatment started or the appearance of one or more new lesions.

Evaluation of lung lesions at any time after SBRT is difficult in view of the expected fibrotic reaction. Bone lesions seen only on PET are also not well scored by RECIST criteria and will not be evaluated in that manner. In this study progressive disease (PD) will be defined as residual increased metabolic PET scan in combination with expanded parenchymal opacity that retains mass-like discrete borders and extends outside the volume of lung that received at least 18 Gy., 6 months";"In-field Local Control, In-field local control is defined as number of treated lesions that did not grow in size or increase in metabolic activity., 9 months|Number of Participants Without Serious Adverse Events Related to Radiation, Common Terminology Criteria for Adverse Events v4.03 (CTCAE) is used as the standard classification and severity grading scale for adverse events, 3 years|Overall Survival, evaluate overall survival after SBRT in combination with erlotinib, up to 5 years|Duration of Erlotinib Use and Time to Initiation of Third-line Systemic Therapy, To evaluate the duration of erlotinib usage and time to initiation of third line systemic agent (chemotherapy or biologic agent), 3 years|Out-of-field Disease Progression, Number of Participants with Disease Progression Outside the Radiation treated field at 9 Months, 9 months|Progression-free Survival, For liver lesions treated with SBRT, RECIST (Response Evaluation Criteria in Solid Tumors) criteria will be used for evaluation of progression. Progression (PD) is at least a 20% increase in the sum of the longest diameter (LD) of target lesions taking as reference the smallest sum LD recorded since the treatment started or the appearance of one or more new lesions.

Evaluation of lung lesions at any time after SBRT is difficult in view of the expected fibrotic reaction. Bone lesions seen only on PET are also not well scored by RECIST criteria and will not be evaluated in that manner. In this study progressive disease (PD) will be defined as residual increased metabolic PET scan in combination with expanded parenchymal opacity that retains mass-like discrete borders and extends outside the volume of lung that received at least 18 Gy., up to 5 years";"";"University of Texas Southwestern Medical Center";"";"ALL";"ADULT, OLDER_ADULT";"PHASE2";24;"OTHER";"INTERVENTIONAL";"Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT";"SCCC-0609131|SCCC-042007-003|CDR0000571634";"2007-06-25";"2016-07-06";"2017-07-06";2007-10-22;2018-04-23;2020-08-21;"University of Colorado Cancer Center at UC Health Sciences Center, Aurora, Colorado, 80045, United States|Simmons Comprehensive Cancer Center at University of Texas Southwestern Medical Center - Dallas, Dallas, Texas, 75390, United States";"2016-07-06";2016;7;TRUE;"2015-2019";"1-99"
"NCT04400552";"Perioperative Oral Nutrition Supplementation in Malnourished Surgical Cancer Patients";"https://clinicaltrials.gov/study/NCT04400552";"";"COMPLETED";"NO";"Cancer of Breast|Cancer Colon";"DIETARY_SUPPLEMENT: ONS Pre-op + ONS Post-op|DIETARY_SUPPLEMENT: ONS Pre-op + ONS Post-op + ONS Post-op 3 months|DIETARY_SUPPLEMENT: Usual intake Pre-op + ONS Post-op";"Change in body weight, Anthropometry measurement, Change from baseline body weight at 4 months|Change in body mass index (BMI), Anthropometry measurement, Change from baseline body mass index (BMI) at 4 months|Change in serum albumin level, Serum albumin is an indicator of protein stores to assess nutritional status, Change from baseline serum albumin level at 4 months|Change in serum pre-albumin level, Serum pre-albumin is an indicator of protein stores to assess nutritional status, Change from baseline serum pre-albumin level at 4 months";"Change in handgrip force, Handgrip force is a measure of handgrip strength by dynamometer, Change from baseline handgrip force at 4 months|Change in muscle mass, Muscle mass reported in kilogram is measured by bioelectrical impedance analyser, Change from baseline muscle mass at 4 months|Change in fat mass, Fat mass reported in kilogram is measured by bioelectrical impedance analyser, Change from baseline fat mass at 4 months|Change in serum transferrin level, Serum transferrin is a measure of nutritional status, Change from baseline serum transferrin level at 4 months|Change in hemoglobin level, Serum hemoglobin is a measure of nutritional status, Change from baseline hemoglobin level at 4 months|Change in high sensitivity c-reactive protein (HsCRP) level, High sensitivity c-reactive protein (HsCRP) is a measure of inflammatory status, Change from baseline high sensitivity c-reactive protein (HsCRP) level at 4 months|Change in Interleukin-6 (IL-6), Interleukin-6 (IL-6) is a measure of inflammatory status, Change from baseline Interleukin-6 (IL-6) at 4 months|Change in salivary cortisol level, Salivary cortisol level is a biological marker of stress reaction, Change from baseline salivary cortisol level at 4 months|Change in energy intake, Energy intake reported in calories is a dietary measure to assess nutritional status, Change from baseline energy intake at 4 months|Change in protein intake, Protein intake reported in gram is a dietary measure to assess nutritional status, Change from baseline protein intake at 4 months|Change in Pittsburgh Sleep Quality Index (PSQI) scores, Pittsburgh Sleep Quality Index (PSQI) scores range from 0-42.Higher scores indicate poorer sleep quality, Change from baseline Pittsburgh Sleep Quality Index (PSQI) scores at 4 months|Presence of post-surgical complications, Post-surgical complications are indicated by presence of wound infection, chest infection and use of antibiotics, responses are either yes or no, Change from baseline post-surgical complications at 3 months|Length of hospital stay, Number of days participants are admitted into the hospital, Up to 5 days";"";"IMU University, Malaysia";"Kotra Pharma (M) Sdn Bhd";"ALL";"ADULT, OLDER_ADULT";NA;91;"OTHER";"INTERVENTIONAL";"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE";"IMU R204/2017";"2018-12-26";"2021-06-30";"2021-06-30";2020-05-22;NA;2021-08-25;"International Medical University, Kuala Lumpur, 57000, Malaysia";"2021-06-30";2021;6;TRUE;"2020-2024";"1-99"
"NCT00821002";"A Phase 2 Study of Punctal Placement of the Latanoprost Punctal Plug Delivery System (L-PPDS)";"https://clinicaltrials.gov/study/NCT00821002";"";"COMPLETED";"NO";"Open-Angle Glaucoma|Ocular Hypertension";"DRUG: Latanoprost";"Intraocular pressure change from baseline (mmHg), 6 weeks";"Number of subjects with adverse events, 6 weeks";"";"Mati Therapeutics Inc.";"QLT Inc.";"ALL";"ADULT, OLDER_ADULT";"PHASE2";32;"INDUSTRY";"INTERVENTIONAL";"Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT";"PPL GLAU 05";"2009-01";"2009-11";"2009-11";2009-01-12;NA;2013-09-19;"Menlo Park, California, 94025, United States";"2009-11";2009;11;TRUE;"2005-2009";"1-99"
"NCT01605032";"Busulfan, Melphalan, and Bortezomib Before First-Line Stem Cell Transplant in Treating Patients With Multiple Myeloma";"https://clinicaltrials.gov/study/NCT01605032";"";"COMPLETED";"YES";"DS Stage I Plasma Cell Myeloma|DS Stage II Plasma Cell Myeloma|DS Stage III Plasma Cell Myeloma|Refractory Plasma Cell Myeloma";"DRUG: Busulfan|DRUG: Melphalan|DRUG: Bortezomib|PROCEDURE: Autologous Hematopoietic Stem Cell Transplantation|PROCEDURE: Peripheral Blood Stem Cell Transplantation";"Rate of Complete Response as Determined by the IMWG Criteria, Number of patients achieved complete response after the treatment regimen, Day 100";"Overall Response Rate, Per Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.0) for target lesions and assessed by MRI: Complete Response (CR), Disappearance of all target lesions; Partial Response (PR), \>=30% decrease in the sum of the longest diameter of target lesions; Overall Response (OR) = CR + PR., Up to day 100|Mortality, Up to day 100|Time-to-progression, From start of treatment to disease progression with deaths, up to 2 years|Progression-free Survival, The progression free survival was assessed over a period of 2 years, 2 years|Overall Survival, The overall survival of patients was measured of a period of 2 years., 2 years";"";"Albert Einstein College of Medicine";"National Cancer Institute (NCI)";"ALL";"ADULT, OLDER_ADULT";"PHASE2";19;"OTHER";"INTERVENTIONAL";"Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT";"11-12-434|NCI-2013-01207|11-102|11-12-434|P30CA013330";"2012-02";"2018-03";"2018-03";2012-05-24;2020-08-20;2020-08-20;"Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, 08903, United States|NYU Cancer Institute, New York, New York, 10016, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, 10065, United States|Albert Einstein College of Medicine, The Bronx, New York, 10461, United States";"2018-03";2018;3;TRUE;"2015-2019";"1-99"
